blind_id,sample_id,stratum,cls2012,cls2021,x,y,z,row,col,u,v,annotated_figure,native_crop
B054,loss_to_otherveg_18,loss_to_otherveg,1,2,733556.5,4050780.75,2577.780029296875,1288,812,4078.9732160903995,1346.4691000009127,crops/loss_to_otherveg_18.png,crops_native/loss_to_otherveg_18_native.png
B055,control_stable_sasa_15,control_stable_sasa,1,1,733402.5,4051188.75,2459.89990234375,880,658,2283.1760484325246,1865.2083389151433,crops/control_stable_sasa_15.png,crops_native/control_stable_sasa_15_native.png
B056,loss_to_rowan_04,loss_to_rowan,1,4,733161.5,4051171.75,2378.860107421875,897,417,2414.7174649362214,2586.7314018236875,crops/loss_to_rowan_04.png,crops_native/loss_to_rowan_04_native.png
B057,loss_to_dwarfpine_13,loss_to_dwarfpine,1,7,733429.5,4050902.75,2518.169921875,1166,685,3788.298668616376,1555.6575894551297,crops/loss_to_dwarfpine_13.png,crops_native/loss_to_dwarfpine_13_native.png
B058,loss_to_otherveg_11,loss_to_otherveg,1,2,732920.5,4051032.75,2442.469970703125,1036,176,5059.903948490251,2183.769219189217,crops/loss_to_otherveg_11.png,crops_native/loss_to_otherveg_11_native.png
B059,loss_to_otherveg_24,loss_to_otherveg,1,2,733233.5,4051134.75,2395.72998046875,934,489,2682.45062315314,2350.1856301447747,crops/loss_to_otherveg_24.png,crops_native/loss_to_otherveg_24_native.png
B060,control_stable_dwarfpine_09,control_stable_dwarfpine,7,7,733547.5,4051488.75,2484.7099609375,580,803,844.589134040257,1751.5828236813811,crops/control_stable_dwarfpine_09.png,crops_native/control_stable_dwarfpine_09_native.png
B061,loss_to_dwarfpine_01,loss_to_dwarfpine,1,7,733292.5,4051032.75,2438.010009765625,1036,548,3317.8999734107197,2005.9742300826915,crops/loss_to_dwarfpine_01.png,crops_native/loss_to_dwarfpine_01_native.png
B062,loss_to_dwarfpine_36,loss_to_dwarfpine,1,7,733230.5,4051172.75,2385.5,896,486,2394.781760901812,2436.9640907793864,crops/loss_to_dwarfpine_36.png,crops_native/loss_to_dwarfpine_36_native.png
B063,control_stable_sasa_01,control_stable_sasa,1,1,733479.5,4051132.75,2496.169921875,936,735,2574.8437956094003,1678.6950350408824,crops/control_stable_sasa_01.png,crops_native/control_stable_sasa_01_native.png
B064,gain_dwarfpine_to_sasa_08,gain_dwarfpine_to_sasa,7,1,733509.5,4051095.75,2516.030029296875,973,765,2745.455041864123,1589.2174977980205,crops/gain_dwarfpine_to_sasa_08.png,crops_native/gain_dwarfpine_to_sasa_08_native.png
B065,control_stable_dwarfpine_11,control_stable_dwarfpine,7,7,733474.5,4051565.75,2442.639892578125,503,730,270.0778466884117,1967.7889138637452,crops/control_stable_dwarfpine_11.png,crops_native/control_stable_dwarfpine_11_native.png
B066,control_stable_sasa_03,control_stable_sasa,1,1,732816.5,4051118.75,2442.8701171875,950,72,4929.517497565322,2570.2478367654767,crops/control_stable_sasa_03.png,crops_native/control_stable_sasa_03_native.png
B067,loss_to_dwarfpine_10,loss_to_dwarfpine,1,7,733263.5,4051249.75,2412.530029296875,819,519,1826.3508298711013,2213.580500531109,crops/loss_to_dwarfpine_10.png,crops_native/loss_to_dwarfpine_10_native.png
B068,loss_to_otherveg_10,loss_to_otherveg,1,2,733640.5,4051332.75,2541.110107421875,736,896,1678.0253255042949,1519.560309145045,crops/loss_to_otherveg_10.png,crops_native/loss_to_otherveg_10_native.png
B069,loss_to_otherveg_15,loss_to_otherveg,1,2,733108.5,4050935.75,2457.570068359375,1133,364,4625.898843757616,1880.2883662069196,crops/loss_to_otherveg_15.png,crops_native/loss_to_otherveg_15_native.png
B070,loss_to_otherveg_20,loss_to_otherveg,1,2,733517.5,4051445.75,2488.52001953125,623,773,1005.5661270298533,1727.2510749795895,crops/loss_to_otherveg_20.png,crops_native/loss_to_otherveg_20_native.png
B071,loss_to_dwarfpine_17,loss_to_dwarfpine,1,7,733380.5,4050993.75,2484.989990234375,1075,636,3403.599872898822,1717.332498623277,crops/loss_to_dwarfpine_17.png,crops_native/loss_to_dwarfpine_17_native.png
B072,loss_to_otherveg_27,loss_to_otherveg,1,2,733165.5,4051302.75,2389.050048828125,766,421,1232.2391347084103,2510.0348491246896,crops/loss_to_otherveg_27.png,crops_native/loss_to_otherveg_27_native.png
B073,loss_to_dwarfpine_33,loss_to_dwarfpine,1,7,733075.5,4051116.75,2405.280029296875,952,331,3036.187120434858,2458.6605482581776,crops/loss_to_dwarfpine_33.png,crops_native/loss_to_dwarfpine_33_native.png
B074,control_stable_sasa_13,control_stable_sasa,1,1,733510.5,4051083.75,2517.820068359375,985,766,2802.847880945894,1581.1827076008672,crops/control_stable_sasa_13.png,crops_native/control_stable_sasa_13_native.png
B075,loss_to_otherveg_12,loss_to_otherveg,1,2,733523.5,4051100.75,2522.679931640625,968,779,2714.265804904542,1562.0194378682645,crops/loss_to_otherveg_12.png,crops_native/loss_to_otherveg_12_native.png
B076,loss_to_dwarfpine_31,loss_to_dwarfpine,1,7,733499.5,4051009.75,2530.590087890625,1059,755,3165.8636640578925,1517.5189488509473,crops/loss_to_dwarfpine_31.png,crops_native/loss_to_dwarfpine_31_native.png
B077,loss_to_dwarfpine_24,loss_to_dwarfpine,1,7,733470.5,4051304.75,2490.489990234375,764,726,1674.9808413135706,1706.0820391457532,crops/loss_to_dwarfpine_24.png,crops_native/loss_to_dwarfpine_24_native.png
B078,loss_to_maple_01,loss_to_maple,1,5,733498.5,4051095.75,2511.97998046875,973,754,2751.4099441808803,1605.3382266896378,crops/loss_to_maple_01.png,crops_native/loss_to_maple_01_native.png
B079,loss_to_dwarfpine_07,loss_to_dwarfpine,1,7,733480.5,4051164.75,2493.510009765625,904,736,2411.049183800072,1692.353577004418,crops/loss_to_dwarfpine_07.png,crops_native/loss_to_dwarfpine_07_native.png
B080,loss_to_dwarfpine_09,loss_to_dwarfpine,1,7,733656.5,4051262.75,2561.070068359375,806,912,1985.3889324687354,1442.7670786249555,crops/loss_to_dwarfpine_09.png,crops_native/loss_to_dwarfpine_09_native.png
B081,loss_to_otherveg_08,loss_to_otherveg,1,2,733069.5,4050918.75,2464.030029296875,1150,325,5020.592119422455,1819.3301785968206,crops/loss_to_otherveg_08.png,crops_native/loss_to_otherveg_08_native.png
B082,loss_to_otherveg_02,loss_to_otherveg,1,2,733079.5,4051086.75,2417.31005859375,982,335,3342.7045082977593,2314.9938545946097,crops/loss_to_otherveg_02.png,crops_native/loss_to_otherveg_02_native.png
B083,loss_to_dwarfpine_30,loss_to_dwarfpine,1,7,733468.5,4051054.75,2504.18994140625,1014,724,2976.385407363723,1635.8787809098694,crops/loss_to_dwarfpine_30.png,crops_native/loss_to_dwarfpine_30_native.png
B084,loss_to_dwarfpine_18,loss_to_dwarfpine,1,7,733364.5,4050907.75,2490.219970703125,1161,620,3902.273402485567,1685.5611923653585,crops/loss_to_dwarfpine_18.png,crops_native/loss_to_dwarfpine_18_native.png
B085,control_stable_dwarfpine_04,control_stable_dwarfpine,7,7,733606.5,4051190.75,2568.389892578125,878,862,2284.645856616152,1388.167384415236,crops/control_stable_dwarfpine_04.png,crops_native/control_stable_dwarfpine_04_native.png
B086,control_stable_sasa_04,control_stable_sasa,1,1,733513.5,4051093.75,2517.72998046875,975,769,2752.96531826659,1582.4188507310591,crops/control_stable_sasa_04.png,crops_native/control_stable_sasa_04_native.png
B087,loss_to_dwarfpine_32,loss_to_dwarfpine,1,7,733244.5,4051274.75,2409.010009765625,794,500,1616.478261214369,2255.2626911947887,crops/loss_to_dwarfpine_32.png,crops_native/loss_to_dwarfpine_32_native.png
